query,ai_engine,model,timestamp,response_length,response_quality,total_citations,your_brand_mentioned,competitors_mentioned,total_brands_mentioned,contains_recommendations,contains_specific_products,mention_context,top_competitors
nano vs non nano mineral sunscreen,openai,gpt-4,2025-09-03T18:45:19.454450,2298,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, thinksport, neutrogena"
nano vs non nano mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:45:09.171829,2238,0.7,2,False,2,2,True,True,,"badger, eltamd"
nano vs non nano mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:45:24.509765,1842,0.9000000000000001,4,False,4,4,True,False,,"cerave, thinksport, badger"
nano vs non nano mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:45:28.762337,4239,0.9000000000000001,4,False,4,4,True,True,,"thinkbaby, supergoop, badger"
mineral sunscreen ingredients to avoid,openai,gpt-4,2025-09-03T18:45:41.077779,2879,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, thinksport, badger"
mineral sunscreen ingredients to avoid,openai,gpt-3.5-turbo,2025-09-03T18:45:20.949378,2467,0.9000000000000001,4,False,4,4,True,True,,"coola, drunk elephant, badger"
mineral sunscreen ingredients to avoid,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:45:31.813413,1540,0.8,6,False,6,6,True,False,,"blue lizard, cerave, drunk elephant"
mineral sunscreen ingredients to avoid,google,gemini-1.5-pro,2025-09-03T18:45:35.748813,3765,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, cerave, thinkbaby"
how does zinc oxide sunscreen work,openai,gpt-4,2025-09-03T18:45:48.395640,3490,0.9000000000000001,13,False,4,4,True,True,,"blue lizard, cerave, eltamd"
how does zinc oxide sunscreen work,openai,gpt-3.5-turbo,2025-09-03T18:45:31.535709,1995,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, badger"
how does zinc oxide sunscreen work,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:45:44.114450,2012,0.8,4,False,4,4,True,False,,"neutrogena, cerave, supergoop"
how does zinc oxide sunscreen work,google,gemini-1.5-pro,2025-09-03T18:45:46.617187,3982,0.9000000000000001,6,False,6,6,True,True,,"aveeno, blue lizard, thinkbaby"
titanium dioxide safety in sunscreen,openai,gpt-4,2025-09-03T18:45:51.762613,2238,0.8,3,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
titanium dioxide safety in sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:45:45.615615,2237,0.9000000000000001,5,False,5,5,True,True,,"blue lizard, cerave, thinkbaby"
titanium dioxide safety in sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:00.169762,2569,0.9000000000000001,8,False,5,5,True,False,,"cerave, thinksport, neutrogena"
titanium dioxide safety in sunscreen,google,gemini-1.5-pro,2025-09-03T18:46:01.525875,3900,0.9000000000000001,4,False,4,4,True,True,,"blue lizard, cerave, supergoop"
mineral sunscreen chemical composition,openai,gpt-4,2025-09-03T18:46:07.157173,2633,0.9000000000000001,7,False,4,4,True,True,,"blue lizard, cerave, eltamd"
mineral sunscreen chemical composition,openai,gpt-3.5-turbo,2025-09-03T18:45:53.396359,2175,0.7,2,False,2,2,True,True,,"cerave, eltamd"
mineral sunscreen chemical composition,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:09.763853,2677,0.9000000000000001,4,False,4,4,True,False,,"neutrogena, cerave, drunk elephant"
mineral sunscreen chemical composition,google,gemini-1.5-pro,2025-09-03T18:46:22.078488,3495,0.9000000000000001,4,False,4,4,True,False,,"blue lizard, thinkbaby, badger"
SPF ratings mineral vs chemical,openai,gpt-4,2025-09-03T18:46:19.697580,3033,0.8,3,False,3,3,True,True,,"neutrogena, supergoop, eltamd"
SPF ratings mineral vs chemical,openai,gpt-3.5-turbo,2025-09-03T18:46:08.817483,3363,0.8,3,False,3,3,True,True,,"neutrogena, coppertone, eltamd"
SPF ratings mineral vs chemical,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:17.884850,1560,0.9000000000000001,4,False,4,4,True,False,,"neutrogena, cerave, supergoop"
SPF ratings mineral vs chemical,google,gemini-1.5-pro,2025-09-03T18:46:25.049317,3996,0.9000000000000001,5,False,4,4,True,True,,"blue lizard, thinkbaby, supergoop"
UV protection mineral sunscreen science,openai,gpt-4,2025-09-03T18:46:34.158735,3010,0.9000000000000001,7,False,4,4,True,True,,"blue lizard, coola, eltamd"
UV protection mineral sunscreen science,openai,gpt-3.5-turbo,2025-09-03T18:46:22.242752,2291,0.9000000000000001,4,False,4,4,True,True,,"coola, drunk elephant, badger"
UV protection mineral sunscreen science,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:36.487939,2956,0.8,3,False,3,3,True,True,,"neutrogena, cerave, eltamd"
UV protection mineral sunscreen science,google,gemini-1.5-pro,2025-09-03T18:46:38.726504,4576,0.9000000000000001,6,False,6,6,True,True,,"blue lizard, thinksport, thinkbaby"
mineral vs chemical sunscreen pros cons,openai,gpt-4,2025-09-03T18:46:42.604239,3317,0.8,3,False,3,3,True,True,,"blue lizard, eltamd, neutrogena"
mineral vs chemical sunscreen pros cons,openai,gpt-3.5-turbo,2025-09-03T18:46:28.942300,2523,0.6000000000000001,1,False,1,1,True,True,,eltamd
mineral vs chemical sunscreen pros cons,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:44.503793,2341,0.8,3,False,3,3,True,False,,"neutrogena, supergoop, eltamd"
mineral vs chemical sunscreen pros cons,google,gemini-1.5-pro,2025-09-03T18:46:50.242984,4268,0.9000000000000001,6,False,6,6,True,True,,"blue lizard, cerave, neutrogena"
powder vs cream mineral sunscreen,openai,gpt-4,2025-09-03T18:46:53.720965,2286,0.9000000000000001,4,False,2,2,True,True,,"blue lizard, eltamd"
powder vs cream mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:46:44.616963,2335,0.8,3,False,3,3,True,True,,"cerave, supergoop, eltamd"
powder vs cream mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:46:56.791885,2316,0.9000000000000001,4,False,3,3,True,True,,"cerave, drunk elephant, eltamd"
powder vs cream mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:47:01.299870,4157,0.9000000000000001,4,True,3,4,True,True,* **Brush On Block Mineral Powder Sunscreen SPF 30:**  A more affordable option that offers broad-spectrum protection,"thinkbaby, supergoop, eltamd"
drugstore vs luxury mineral sunscreen,openai,gpt-4,2025-09-03T18:47:00.690338,2474,0.9000000000000001,9,False,3,3,True,True,,"neutrogena, cerave, eltamd"
drugstore vs luxury mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:46:53.899669,2061,0.8,3,False,3,3,True,False,,"neutrogena, cerave, eltamd"
drugstore vs luxury mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:47:08.886671,2734,0.8,3,False,2,2,True,False,,"neutrogena, cerave"
drugstore vs luxury mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:47:10.492190,4487,0.9000000000000001,6,False,6,6,True,True,,"sun bum, cerave, neutrogena"
Korean vs American mineral sunscreen,openai,gpt-4,2025-09-03T18:47:14.135245,2169,0.9000000000000001,6,False,2,2,True,True,,"blue lizard, eltamd"
Korean vs American mineral sunscreen,openai,gpt-3.5-turbo,2025-09-03T18:47:04.472206,2370,0.7,2,False,2,2,True,True,,"cerave, eltamd"
Korean vs American mineral sunscreen,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:47:14.163112,2075,0.6000000000000001,1,False,1,1,True,False,,eltamd
Korean vs American mineral sunscreen,google,gemini-1.5-pro,2025-09-03T18:47:21.853032,4370,0.9000000000000001,4,False,4,4,True,True,,"aveeno, cerave, supergoop"
mineral sunscreen vs BB cream SPF,openai,gpt-4,2025-09-03T18:47:26.127457,2429,0.7,2,False,2,2,True,False,,"neutrogena, eltamd"
mineral sunscreen vs BB cream SPF,openai,gpt-3.5-turbo,2025-09-03T18:47:31.718485,2477,0.7,2,False,2,2,True,True,,"coola, eltamd"
mineral sunscreen vs BB cream SPF,anthropic,claude-3-5-sonnet-20241022,2025-09-03T18:47:24.352690,1470,0.6000000000000001,1,False,1,1,True,True,,eltamd
mineral sunscreen vs BB cream SPF,google,gemini-1.5-pro,2025-09-03T18:47:29.072432,3659,0.7,2,False,2,2,True,True,,"supergoop, eltamd"
